# adventure — generated map summary. See golden/README.md before updating.
meta attempts=1 nodes=239 edges=300 pois=60
terrain plains nodes=107
terrain forest nodes=72
terrain mountain nodes=60
node 0 plains x=97619 y=967284
node 1 forest x=83628 y=892398
node 2 plains x=152732 y=943799
node 3 forest x=55715 y=808927
node 4 forest x=166378 y=848100
node 5 forest x=3442 y=846762
node 6 forest x=19095 y=906568
node 7 forest x=102879 y=836213
node 8 forest x=145032 y=741733
node 9 forest x=62574 y=745939
node 10 plains x=206435 y=952886
node 11 forest x=37 y=972764
node 12 forest x=468 y=750677
node 13 forest x=16367 y=697601
node 14 plains x=255853 y=997370
node 15 plains x=231461 y=886742
node 16 forest x=216625 y=803203
node 17 forest x=59116 y=664482
node 18 plains x=310516 y=986474
node 19 plains x=289076 y=860902
node 20 plains x=167963 y=995254
node 21 forest x=285943 y=783839
node 22 forest x=13788 y=588145
node 23 forest x=111886 y=680544
node 24 forest x=229568 y=741542
node 25 forest x=198376 y=659501
node 26 plains x=268952 y=940302
node 27 forest x=178571 y=567011
node 28 forest x=70411 y=610129
node 29 plains x=369730 y=920702
node 30 plains x=343574 y=828309
node 31 forest x=77988 y=547570
node 32 forest x=17575 y=522099
node 33 forest x=248450 y=502641
node 34 forest x=150874 y=795349
node 35 forest x=68623 y=452331
node 36 forest x=119619 y=582153
node 37 forest x=75670 y=369683
node 38 forest x=113833 y=501440
node 39 plains x=408472 y=976321
node 40 forest x=134754 y=432404
node 41 forest x=263694 y=612996
node 42 forest x=194293 y=514076
node 43 forest x=168820 y=353417
node 44 forest x=15754 y=464114
node 45 forest x=286212 y=705013
node 46 forest x=25516 y=406943
node 47 plains x=241897 y=339742
node 48 forest x=141218 y=633191
node 49 plains x=347560 y=639866
node 50 forest x=240371 y=429299
node 51 forest x=286365 y=383035
node 52 forest x=119547 y=329110
node 53 forest x=8566 y=323533
node 54 plains x=212762 y=264183
node 55 forest x=104130 y=275668
node 56 plains x=262663 y=285941
node 57 plains x=435290 y=898072
node 58 forest x=6291 y=237467
node 59 plains x=496729 y=979086
node 60 plains x=389918 y=864914
node 61 plains x=359541 y=735774
node 62 plains x=260575 y=189139
node 63 forest x=167141 y=292945
node 64 plains x=427915 y=812047
node 65 plains x=486894 y=746198
node 66 plains x=332281 y=296443
node 67 forest x=70607 y=201413
node 68 plains x=469533 y=681625
node 69 plains x=407994 y=665722
node 70 forest x=135129 y=205615
node 71 plains x=498361 y=863207
node 72 plains x=579445 y=960795
node 73 plains x=552627 y=673793
node 74 forest x=299182 y=446601
node 75 plains x=322327 y=577601
node 76 plains x=432882 y=759224
node 77 forest x=72375 y=140766
node 78 forest x=176240 y=163654
node 79 plains x=482624 y=803265
node 80 forest x=249219 y=128872
node 81 plains x=366714 y=387758
node 82 forest x=235708 y=557041
node 83 plains x=349010 y=148430
node 84 plains x=322642 y=202862
node 85 plains x=591244 y=723241
node 86 plains x=545873 y=782278
node 87 plains x=209827 y=204166
node 88 plains x=414695 y=604838
node 89 forest x=188891 y=410268
node 90 forest x=200530 y=103907
node 91 forest x=434150 y=141460
node 92 forest x=131066 y=113760
node 93 plains x=308511 y=93693
node 94 forest x=255902 y=44633
node 95 plains x=602938 y=861181
node 96 plains x=384729 y=274841
node 97 plains x=389324 y=217472
node 98 plains x=377336 y=329839
node 99 plains x=598541 y=788283
node 100 forest x=334467 y=504359
node 101 plains x=518588 y=608180
node 102 plains x=604673 y=621397
node 103 forest x=165890 y=64160
node 104 plains x=354749 y=57012
node 105 forest x=422491 y=510655
node 106 plains x=467782 y=626213
node 107 plains x=384072 y=103361
node 108 plains x=552198 y=562361
node 109 plains x=487229 y=565869
node 110 forest x=190627 y=15672
node 111 forest x=419371 y=433110
node 112 forest x=114197 y=14122
node 113 forest x=22608 y=167723
node 114 mountain x=682114 y=561761
node 115 mountain x=495910 y=470362
node 116 plains x=682386 y=826946
node 117 plains x=651542 y=783179
node 118 mountain x=475120 y=321901
